Vehicle.Type,Drive.Type,Model Year,Production (000),Production Share,2-Cycle MPG,Real-World MPG,Real-World MPG_City,Real-World MPG_Hwy,Real-World CO2 (g/mi),Real-World CO2_City (g/mi),Real-World CO2_Hwy (g/mi),Weight (lbs),Footprint (sq. ft.),Engine Displacement,Horsepower (HP),Acceleration (0-60 time in seconds),HP/Engine Displacement,HP/Weight (lbs),Ton-MPG (Real-World),Transmission - Manual,Transmission - Automatic,Transmission - Lockup,Transmission - CVT (Hybrid),Transmission - Other,Fuel Delivery - Carbureted,Fuel Delivery - Gasoline Direct Injection (GDI),Fuel Delivery - Port Fuel Injection,Fuel Delivery - Throttle Body Injection,Fuel Delivery - Other,Powertrain - Diesel,Powertrain - Electric Vehicle (EV),Powertrain - Plug-in Hybrid Electric Vehicle (PHEV),Powertrain - Fuel Cell Vehicle  (FCV),Powertrain - Other (incl. CNG),Powertrain - Gasoline Hybrid,Powertrain - Gasoline,Turbocharged Engine,Stop/Start,Cylinder Deactivation,Multivalve Engine,Variable Valve Timing,Average Number of Gears,Transmission - CVT (Non-Hybrid),Cylinders,4 or Fewer Gears,5 Gears,6 Gears,7 Gears,8 Gears,9 or More Gears,Fuel Delivery - Gasoline Direct & Port Injection (GDPI)
Truck SUV,Front Wheel Drive,2003,94,0.026,25.72516,20.49931,18.00208,23.01998,433.52689,493.66511,386.05602,3884.665,-,164.5798,190.2065,9.5973,1.149253,0.04887,39.95259,0.043,-,0.957,-,-,-,-,1,-,-,-,-,-,-,-,-,1,0.004,-,-,1,1,4,-,5,0.954,0.046,-,-,-,-,-
Truck SUV,Front Wheel Drive,2004,114,0.028,25.25255,20.15967,17.36366,23.02142,440.83064,511.81597,386.03185,4060.166,-,186.7573,196.2336,9.4483,1.073929,0.048394,41.00691,0.016,-,0.984,-,-,-,-,1,-,-,-,-,-,-,-,-,1,0.084,-,-,0.818,0.818,4.5,-,5.2,0.528,0.472,-,-,-,-,-
Truck SUV,Front Wheel Drive,2005,97,0.029,25.94556,20.54739,17.83554,23.20959,432.51238,498.27478,382.90215,3950.3,-,173.8108,197.9434,9.2313,1.137618,0.050048,40.63323,0.018,-,0.982,-,-,-,-,1,-,-,-,-,-,-,-,-,1,0.086,-,-,1,1,4.6,-,5.1,0.396,0.604,-,-,-,-,-
Truck SUV,Front Wheel Drive,2006,154,0.051,25.99811,20.56724,17.91074,23.15843,432.09491,496.18268,383.748,4238.571,-,188.6298,209.438,8.9306,1.111246,0.049299,44.09957,0.011,-,0.857,0.132,-,-,-,1,-,-,-,-,-,-,-,0.132,0.868,0.065,-,0.339,1,1,4.7,-,5.5,0.225,0.643,-,-,-,-,-
Truck SUV,Front Wheel Drive,2007,214,0.065,25.96114,20.60958,17.74225,23.47108,431.20734,500.8947,378.63618,4283.48,-,187.8331,217.0704,8.9131,1.153746,0.050418,44.24247,0.024,-,0.748,0.055,-,-,-,1,-,-,-,-,-,-,-,0.055,0.945,-,-,0.222,1,0.993,5.3,0.173,5.3,0.076,0.422,0.274,-,-,-,-
Truck SUV,Front Wheel Drive,2008,309,0.101,25.72233,20.53505,17.37549,23.79988,432.77216,511.46773,373.40532,4472.442,50.05754,195.9584,238.1836,8.6337,1.214165,0.052932,45.91726,0.016,-,0.816,0.019,-,-,-,1,-,-,-,-,-,-,-,0.019,0.981,-,-,-,1,0.976,5.5,0.149,5.5,0.028,0.356,0.448,-,-,-,-
Truck SUV,Front Wheel Drive,2009,300,0.175,24.90535,19.9678,16.74379,23.36116,445.06659,530.76392,380.41772,4537.473,51.27199,200.7108,250.8013,8.1805,1.254544,0.054938,45.26006,0.009,-,0.908,0.001,-,-,0.202,0.798,-,-,-,-,-,-,-,0.001,0.999,0.04,-,0.094,1,0.839,5.8,0.082,5.6,0.018,0.18,0.72,-,-,-,-
Truck SUV,Front Wheel Drive,2010,327,0.142,25.62661,20.52018,17.20146,24.01553,433.08588,516.64215,370.05221,4495.817,50.87183,201.8129,249.5761,8.2651,1.239323,0.055248,46.05773,0.008,0.029,0.867,-,-,-,0.357,0.643,-,-,-,-,-,-,-,-,1,0.03,-,0.12,1,0.867,5.7,0.096,5.6,0.009,0.234,0.66,-,-,-,-
Truck SUV,Front Wheel Drive,2011,423,0.138,25.82418,20.62961,17.36499,24.03891,430.78866,511.77676,369.69237,4536.85,51.718,202.0631,263.1589,8.0705,1.301491,0.057542,46.70147,0.007,-,0.889,-,-,-,0.401,0.599,-,-,-,-,-,-,-,-,1,0.03,-,0.147,1,1,5.7,0.104,5.6,0.015,0.222,0.658,-,-,-,-
Truck SUV,Front Wheel Drive,2012,381,0.138,25.72837,20.56937,17.2041,24.13011,432.0502,516.56287,368.29502,4673.899,52.89187,209.5459,268.8395,8.0441,1.285428,0.057387,48.05622,-,-,0.993,-,-,-,0.456,0.544,-,-,-,-,-,-,-,-,1,0.02,-,0.112,1,1,5.7,0.007,5.8,0.045,0.211,0.737,-,-,-,-
Truck SUV,Front Wheel Drive,2013,455,0.138,26.42876,21.05615,17.7228,24.53773,422.06195,501.44449,362.17688,4562.81,52.02974,205.7742,265.3562,8.0298,1.293487,0.05806,48.04008,-,-,0.885,-,-,-,0.245,0.755,-,-,-,-,-,-,-,-,1,0.027,-,0.096,1,0.956,5.4,0.115,5.7,0.066,0.21,0.609,-,-,-,-
Truck SUV,Front Wheel Drive,2014,475,0.128,26.57509,21.18438,17.78573,24.75257,419.50729,499.67036,359.0334,4599.453,52.58003,207.7734,269.4411,7.9534,1.295978,0.05856,48.73024,-,-,0.863,0.005,-,-,0.386,0.614,-,-,-,-,-,-,-,0.005,0.995,0.009,-,0.099,1,0.945,5.5,0.132,5.8,0.07,0.058,0.735,-,-,-,-
Truck SUV,Front Wheel Drive,2015,523,0.111,26.69636,21.24491,17.86176,24.78659,418.31189,497.54345,358.54071,4580.372,52.11083,207.9085,270.861,7.9318,1.29996,0.058988,48.69414,-,-,0.869,0,-,-,0.329,0.671,-,-,-,-,-,-,-,0,1,0.006,-,0.09,1,0.979,5.5,0.131,5.8,0.08,0.063,0.726,-,-,-,-
Truck SUV,Front Wheel Drive,2016,556,0.117,26.63849,21.15666,17.66222,24.86837,420.0568,503.16442,357.36158,4504.206,51.5452,201.2496,265.3926,7.9221,1.319749,0.058763,47.80514,-,-,0.9,0,-,-,0.502,0.498,-,-,-,-,-,-,-,0,1,0.045,0.026,0.14,1,1,5.7,0.1,5.6,0.074,-,0.767,-,0.001,0.058,-
Truck SUV,Front Wheel Drive,2017,720,0.134,27.05105,21.51334,17.91121,25.36099,413.09246,496.16983,350.42006,4493.153,51.50623,203.2002,275.6621,7.6607,1.35822,0.061273,48.5438,-,-,0.886,0,-,-,0.645,0.278,-,-,-,-,-,-,-,0,1,0.041,0.168,0.219,1,0.991,6.1,0.114,5.7,0.054,-,0.639,-,0.155,0.039,0.077
Truck SUV,Front Wheel Drive,2018,660,0.116,28.65196,22.52314,18.97623,26.22034,394.57191,468.32267,338.93537,4340.335,51.17817,192.2716,262.5559,7.7146,1.369783,0.060168,49.00874,-,-,0.907,-,-,-,0.578,0.32,-,-,-,-,-,-,-,-,1,0.125,0.412,0.158,1,0.981,6.6,0.093,5.4,0.105,-,0.364,-,0.28,0.158,0.102
Truck SUV,Front Wheel Drive,2019,755,0.128,29.07899,22.83488,19.30324,26.49117,389.18538,460.38911,335.47029,4334.292,51.23047,193.7311,264.4912,7.5998,1.365192,0.060759,49.62977,-,-,0.908,-,-,-,0.692,0.189,-,-,-,-,-,-,-,-,1,0.09,0.456,0.2,1,1,6.9,0.092,5.4,0.046,-,0.337,-,0.308,0.217,0.119
Truck SUV,Front Wheel Drive,2020,610,0.115,29.65516,23.40944,19.66875,27.33063,379.63314,451.83338,325.16629,4310.889,51.88636,195.8737,266.8496,7.3798,1.366013,0.061562,50.65577,-,-,0.878,0.011,-,-,0.827,0.092,-,-,-,-,-,-,-,0.011,0.989,0.105,0.58,0.22,1,1,7.5,0.111,5.4,0.062,-,0.096,-,0.309,0.411,0.081
Truck SUV,Front Wheel Drive,2021,497,0.081,30.45806,23.94699,20.35145,27.6294,371.11143,436.67646,321.65009,4363.914,52.18737,194.9813,271.003,7.0919,1.410466,0.061935,52.74452,-,0.035,0.937,0.028,-,-,0.76,-,-,-,-,-,-,-,-,0.039,0.961,0.192,0.744,0.26,1,1,8.2,-,5.4,-,-,0.032,-,0.486,0.455,0.24
Truck SUV,Front Wheel Drive,2022,448,0.08,31.15816,24.36633,20.8127,27.96889,364.72466,426.99887,317.74587,4362.512,51.98125,191.2996,267.7257,7.1413,1.432035,0.061123,53.49694,-,0.051,0.927,0.022,-,-,0.722,-,-,-,-,-,-,-,-,0.034,0.966,0.235,0.868,0.25,1,1,8.3,-,5.4,-,-,0.012,-,0.548,0.418,0.278
Pickup,Front Wheel Drive,1980,26,0.018,31.33089,26.66427,24.75623,29.43726,348.46314,374.751,316.33353,2264.887,-,94.0122,64.8312,18.2935,0.684791,0.028607,31.9919,0.94,0.06,-,-,-,-,-,-,0.573,0.427,0.427,-,-,-,-,-,0.573,-,-,-,-,-,4.1,-,4,0.842,0.158,-,-,-,-,-
Pickup,Front Wheel Drive,1981,33,0.023,36.87486,31.38921,29.07495,34.77198,309.83004,334.01302,280.27305,2318.029,-,99.1769,59.0751,19.0583,0.59235,0.025312,37.13221,1,-,-,-,-,-,-,-,0.272,0.728,0.728,-,-,-,-,-,0.272,-,-,-,-,-,4.5,-,4,0.507,0.493,-,-,-,-,-
Pickup,Front Wheel Drive,1982,32,0.022,33.0224,28.13726,25.7745,31.68761,327.76774,357.00394,292.0346,2439.244,-,118.8798,72.4157,18.4733,0.605191,0.029456,35.13238,0.774,0.226,-,-,-,0.553,-,-,0.107,0.34,0.34,-,-,-,-,-,0.66,-,-,-,-,-,4.1,-,4,0.719,0.281,-,-,-,-,-
Pickup,Front Wheel Drive,1983,31,0.019,31.09208,26.54637,23.7505,31.00769,335.69516,375.12543,287.50261,2604.177,-,133.1438,88.636,15.0785,0.665197,0.034065,34.76838,0.557,0.443,-,-,-,0.945,-,-,0.028,0.027,0.027,-,-,-,-,-,0.973,-,-,-,-,-,4,-,4,0.584,0.416,-,-,-,-,-
Pickup,Front Wheel Drive,1984,12,0.006,28.09042,24.00739,21.2414,28.55146,370.17772,418.38106,311.26252,2639.68,-,135,90,14.5931,0.666667,0.034171,31.73242,0.71,0.29,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,4.3,-,4,0.456,0.544,-,-,-,-,-
Pickup,Front Wheel Drive,1987,0,0,19.98,17.04806,14.52431,21.36859,521.29102,611.87061,415.89084,4000,-,249,135,13.4717,0.542169,0.03375,34.09612,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,4,-,8,1,-,-,-,-,-,-
Pickup,Front Wheel Drive,1988,0,0,20.83,17.71137,15.15636,21.90351,501.76813,586.35457,405.73412,4000,-,275,155,12.3771,0.563636,0.03875,35.42274,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,4,-,8,1,-,-,-,-,-,-
Pickup,Front Wheel Drive,1993,0,0,20.86,17.62475,14.42723,22.68628,504.23423,615.98779,391.73455,4500,-,299,200,9.3498,0.668896,0.044444,39.65568,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,4,-,8,1,-,-,-,-,-,-
Pickup,Front Wheel Drive,2017,11,0.005,28.1939,22.54051,18.69402,26.6822,394.26788,475.39267,333.06847,4500,57.6,213.583,280,7.5966,1.310966,0.062222,50.71615,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,1,1,1,6,-,6,-,-,1,-,-,-,-
Pickup,Front Wheel Drive,2018,3,0.002,28.1939,22.54051,18.69402,26.6822,394.26788,475.39267,333.06847,4500,57.6,213.583,280,7.5966,1.310966,0.062222,50.71615,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,1,1,1,6,-,6,-,-,1,-,-,-,-
Pickup,Front Wheel Drive,2019,9,0.003,28.1939,22.54051,18.69402,26.6822,394.26788,475.39267,333.06847,4500,57.6,213.583,280,7.5966,1.310966,0.062222,50.71615,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,1,1,1,6,-,6,-,-,1,-,-,-,-
Pickup,Front Wheel Drive,2020,1,0.001,28.754,22.76154,19.43911,26.13071,390.43937,457.17104,340.09794,4500,57.6,213.583,280,6.9498,1.310966,0.062222,51.21346,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,1,1,1,1,9,-,6,-,-,-,-,-,1,-
Pickup,Front Wheel Drive,2022,53,0.025,44.39318,31.72187,31.65922,31.7693,280.1537,280.70811,279.73547,4000,53.1,141.2561,194.5997,7.4059,1.427333,0.04865,64.88804,-,-,0.37,0.63,-,-,0.37,0.63,-,-,-,-,-,-,-,0.63,0.37,0.37,0.37,-,1,1,8,-,4,-,-,-,-,0.37,-,-
Sedan/Wagon,Rear Wheel Drive,1975,7698,0.935,15.44238,13.1578,12.04769,14.82769,675.55731,737.7997,599.48329,4146.301,-,298.219,139.568,-,0.501667,0.033324,27.54914,0.165,0.834,0.001,-,-,0.955,-,0.043,-,0.003,0.003,-,-,-,-,-,0.997,-,-,-,-,-,-,-,6.9,0.132,0.011,-,-,-,-,-
Sedan/Wagon,Rear Wheel Drive,1976,9161,0.942,17.17098,14.62305,13.47821,16.31701,607.89718,659.52481,544.79674,4133.414,-,294.1018,135.9327,-,0.491433,0.032481,30.31945,0.145,0.855,-,-,-,0.975,-,0.022,-,0.003,0.003,-,-,-,-,-,0.997,-,-,-,-,-,3,-,6.9,1,-,-,-,-,-,-
Sedan/Wagon,Rear Wheel Drive,1977,10526,0.932,17.91586,15.25412,14.09313,16.96196,582.77045,630.76939,524.10508,4034.464,-,289.1989,136.5363,-,0.503502,0.033629,30.9982,0.13,0.87,-,-,-,0.975,-,0.022,-,0.003,0.003,-,-,-,-,-,0.997,-,-,-,-,-,-,-,7,-,-,-,-,-,-,-
Sedan/Wagon,Rear Wheel Drive,1978,10100,0.904,19.36012,16.49624,15.10328,18.59202,539.11034,588.82177,478.35193,3693.704,-,264.3751,128.6771,13.6141,0.521648,0.034534,30.63514,0.149,0.777,0.074,-,-,0.971,-,0.023,-,0.006,0.006,-,-,-,-,-,0.994,-,-,-,-,-,3.2,-,6.7,0.918,0.082,-,-,-,-,-
Sedan/Wagon,Rear Wheel Drive,1979,9474,0.878,19.61673,16.7019,15.43105,18.57124,533.09647,576.97624,479.46563,3604.046,-,252.6541,124.4114,14.3139,0.526568,0.03423,30.21815,0.159,0.75,0.092,-,-,0.956,-,0.027,-,0.016,0.016,-,-,-,-,-,0.984,-,-,-,-,-,3.2,-,6.6,0.948,0.052,-,-,-,-,-
Sedan/Wagon,Rear Wheel Drive,1980,6554,0.694,22.29822,18.99839,17.4159,21.37189,469.82618,512.52596,417.63756,3296.177,-,209.4612,107.024,15.3158,0.554357,0.032322,31.45513,0.244,0.522,0.234,-,-,0.914,-,0.049,0.003,0.035,0.035,-,-,-,-,-,0.965,-,-,-,-,-,3.4,-,5.8,0.891,0.109,-,-,-,-,-
Sedan/Wagon,Rear Wheel Drive,1981,5436,0.622,23.45025,19.98608,18.2588,22.59902,448.20093,490.63451,396.33767,3333.217,-,211.0676,106.8523,15.4187,0.548172,0.031951,33.51629,0.203,0.265,0.533,-,-,0.839,-,0.066,0.031,0.063,0.063,-,-,-,-,-,0.937,-,-,-,-,-,3.5,-,5.9,0.883,0.117,-,-,-,-,-
Sedan/Wagon,Rear Wheel Drive,1982,4188,0.536,23.33642,19.90474,18.00758,22.84657,449.88786,497.21809,392.0398,3384.373,-,216.1807,112.164,16.0579,0.552873,0.033001,33.94814,0.195,0.125,0.68,-,-,0.78,-,0.092,0.064,0.064,0.064,-,-,-,-,-,0.936,-,-,-,-,-,3.6,-,6,0.874,0.126,-,-,-,-,-
Sedan/Wagon,Rear Wheel Drive,1983,3973,0.496,22.50808,19.21433,17.21484,22.39328,464.03517,517.87403,398.23212,3547.323,-,235.8895,122.986,13.9821,0.549284,0.034641,34.29578,0.143,0.093,0.764,-,-,0.695,-,0.135,0.141,0.029,0.029,-,-,-,-,-,0.971,-,-,-,-,-,3.6,-,6.4,0.893,0.107,-,-,-,-,-
Sedan/Wagon,Rear Wheel Drive,1984,4831,0.453,23.12717,19.74782,17.64171,23.12151,450.89633,504.67446,385.16751,3514.058,-,233.9046,125.0815,13.6563,0.569288,0.035577,34.91994,0.161,0.062,0.777,-,-,0.546,-,0.228,0.208,0.018,0.018,-,-,-,-,-,0.982,-,-,-,-,-,3.7,-,6.4,0.886,0.114,-,-,-,-,-
Sedan/Wagon,Rear Wheel Drive,1985,3918,0.363,23.48087,20.05453,17.86854,23.58036,443.83328,498.08101,377.53049,3576.136,-,239.7282,135.3716,12.906,0.599633,0.03778,35.95749,0.151,0.079,0.77,-,-,0.445,-,0.229,0.313,0.013,0.013,-,-,-,-,-,0.987,-,-,-,-,-,3.8,-,6.5,0.877,0.123,-,-,-,-,-
Sedan/Wagon,Rear Wheel Drive,1986,3068,0.279,23.83569,20.30058,17.98888,23.97199,437.92659,494.19081,370.87112,3547.011,-,239.1662,139.4242,12.0458,0.625352,0.039283,36.04106,0.17,0.085,0.744,-,-,0.388,-,0.46,0.149,0.003,0.003,-,-,-,-,-,0.997,-,-,-,0.025,-,3.8,-,6.5,0.87,0.13,-,-,-,-,-
Sedan/Wagon,Rear Wheel Drive,1987,2347,0.219,23.54598,20.00933,17.55932,23.88387,444.67036,506.66819,372.58771,3608.092,-,241.5252,147.251,11.812,0.659595,0.040938,36.19565,0.183,0.087,0.73,-,-,0.302,-,0.589,0.098,0.01,0.01,-,-,-,-,-,0.99,-,-,-,0.04,-,4,-,6.6,0.827,0.173,-,-,-,-,-
Sedan/Wagon,Rear Wheel Drive,1988,1879,0.175,23.53654,19.94862,17.40925,23.90398,445.50901,510.49111,371.79258,3688.878,-,248.4727,156.9042,11.5718,0.675319,0.042801,36.91788,0.161,0.078,0.762,-,-,0.158,-,0.788,0.053,0,0,-,-,-,-,-,1,-,-,-,0.045,-,4.1,-,6.7,0.843,0.157,-,-,-,-,-
Sedan/Wagon,Rear Wheel Drive,1989,1654,0.165,23.64128,19.98177,17.37848,23.95356,444.76472,511.38968,371.01819,3708.021,-,243.9458,152.7695,11.3892,0.674604,0.041501,37.13101,0.149,0.091,0.759,-,-,0.059,-,0.833,0.107,0,0,-,-,-,-,-,1,-,-,-,0.108,-,4.1,-,6.7,0.851,0.146,0.002,-,-,-,-
Sedan/Wagon,Rear Wheel Drive,1990,1268,0.144,23.63225,19.90714,17.32653,23.72235,446.50232,512.99902,374.69797,3723.606,-,234.897,158.9978,10.549,0.732344,0.042898,37.11454,0.175,0.092,0.734,-,-,0.026,-,0.905,0.068,0.002,0.002,-,-,-,-,-,0.998,-,-,-,0.221,-,4.2,-,6.5,0.824,0.17,0.006,-,-,-,-
Sedan/Wagon,Rear Wheel Drive,1991,1310,0.154,24.03553,20.20239,17.42065,24.29188,440.14155,510.40724,366.06199,3726.302,-,240.3279,176.9254,9.8764,0.783413,0.047473,37.68276,0.157,0.089,0.754,-,-,-,-,0.795,0.201,0.005,0.005,-,-,-,-,-,0.995,-,-,-,0.224,-,4.2,-,6.7,0.84,0.155,0.005,-,-,-,-
Sedan/Wagon,Rear Wheel Drive,1992,1467,0.181,24.58766,20.58953,17.75096,24.6439,431.76707,500.80254,360.74296,3760.475,-,227.8357,179.3174,9.7551,0.834093,0.047463,38.73965,0.106,0.064,0.831,-,-,-,-,0.857,0.14,0.003,0.003,-,-,-,-,-,0.997,-,-,-,0.355,-,4.1,-,6.5,0.89,0.106,0.004,-,-,-,-
Sedan/Wagon,Rear Wheel Drive,1993,1162,0.137,24.26839,20.28716,17.34419,24.4562,438.06039,512.39055,363.38435,3814.242,-,242.6399,189.074,8.9209,0.817184,0.049685,38.68986,0.114,0.068,0.818,-,-,-,-,0.894,0.106,-,-,-,-,-,-,-,1,-,-,-,0.248,-,4.1,-,6.7,0.873,0.116,0.011,-,-,-,-
Sedan/Wagon,Rear Wheel Drive,1994,1274,0.151,24.02016,20.04431,17.00923,24.29807,443.39828,522.51603,365.77525,3840.938,-,252.2281,198.2127,8.4788,0.818761,0.05163,38.51214,0.126,0.054,0.82,-,-,-,-,0.999,-,0.001,0.001,-,-,-,-,-,0.999,-,-,-,0.262,-,4.2,-,7.1,0.853,0.128,0.019,-,-,-,-
Sedan/Wagon,Rear Wheel Drive,1995,1585,0.169,24.63107,20.48355,17.32597,24.81484,434.02621,513.11618,358.27828,3783.521,-,230.5208,193.9825,8.9637,0.883701,0.050958,38.80669,0.129,0.066,0.805,-,-,-,-,0.996,-,0.004,0.004,-,-,-,-,-,0.996,-,-,-,0.417,-,4.2,-,6.5,0.844,0.136,0.021,-,-,-,-
Sedan/Wagon,Rear Wheel Drive,1996,943,0.119,24.30032,20.19476,16.88562,24.72866,440.18961,526.44827,359.48941,3862.052,-,256.7369,206.7819,8.82,0.82791,0.053504,39.01086,0.149,0.056,0.796,-,-,-,-,0.997,-,0.003,0.003,-,-,-,-,-,0.997,0.003,-,-,0.261,-,4.2,-,7.1,0.822,0.153,0.025,-,-,-,-
Sedan/Wagon,Rear Wheel Drive,1997,977,0.117,24.32069,20.1414,16.84018,24.53375,441.35767,527.87098,362.34665,3826.986,-,244.5609,209.5348,8.6814,0.882458,0.054702,38.57282,0.139,0.002,0.859,-,-,-,-,0.997,-,0.003,0.003,-,-,-,-,-,0.997,0.002,-,-,0.382,-,4.3,-,7,0.718,0.258,0.024,-,-,-,-
Sedan/Wagon,Rear Wheel Drive,1998,855,0.107,24.52255,20.21921,16.9493,24.41865,439.71164,524.53883,364.09427,3770.53,-,242.2467,218.1068,8.6363,0.92413,0.057715,38.25782,0.157,0.002,0.84,-,-,-,-,0.996,-,0.004,0.004,-,-,-,-,-,0.996,0.005,-,-,0.428,-,4.4,-,7,0.59,0.383,0.027,-,-,-,-
Sedan/Wagon,Rear Wheel Drive,1999,887,0.106,24.46225,20.11527,16.80142,24.28435,442.05614,529.24031,366.16985,3798.364,-,241.7368,225.8629,8.3384,0.968589,0.059617,38.32934,0.16,0.007,0.833,-,-,-,-,0.995,-,0.005,0.005,-,-,-,-,-,0.995,0.032,-,-,0.44,-,4.5,-,7,0.542,0.413,0.044,-,-,-,-
Sedan/Wagon,Rear Wheel Drive,2000,1185,0.13,24.96194,20.42495,17.09774,24.47058,435.10513,519.77617,363.17074,3698.583,-,229.1977,227.6542,7.9713,1.01973,0.061012,37.80617,0.183,0.024,0.793,-,-,-,-,0.996,0.004,-,-,-,-,-,-,-,1,0,-,-,0.509,0.29,4.5,-,6.8,0.463,0.487,0.05,-,-,-,-
Sedan/Wagon,Rear Wheel Drive,2001,1062,0.126,24.82716,20.25963,16.90018,24.2606,438.6557,525.85236,366.31407,3716.315,-,227.9639,226.3429,7.8198,1.031049,0.060883,37.72588,0.168,0.004,0.827,-,-,-,-,1,-,-,-,-,-,-,-,-,1,0,-,-,0.583,0.387,4.6,-,6.9,0.397,0.54,0.063,-,-,-,-
Sedan/Wagon,Rear Wheel Drive,2002,933,0.112,24.46025,19.9029,16.57726,23.76536,446.51793,536.09574,373.94759,3783.435,-,233.7139,237.0957,7.72,1.049336,0.062808,37.68022,0.183,0.005,0.812,-,-,-,-,1,-,-,-,-,-,-,-,-,1,0,-,-,0.613,0.365,4.8,-,6.9,0.302,0.592,0.106,-,-,-,-
Sedan/Wagon,Rear Wheel Drive,2003,1151,0.145,24.49117,19.87583,16.47889,23.74889,447.12591,539.29595,374.20697,3871.588,-,230.2596,244.9266,7.5869,1.095453,0.063628,38.50333,0.155,-,0.845,-,-,-,-,1,-,-,-,-,-,-,-,-,1,0,-,-,0.677,0.39,4.8,-,6.8,0.288,0.579,0.134,-,-,-,-
Sedan/Wagon,Rear Wheel Drive,2004,1035,0.137,24.33798,19.74198,16.19467,23.76352,450.15757,548.76082,373.97654,3863.428,-,231.0401,245.9621,7.5336,1.100529,0.064078,38.18447,0.172,0.002,0.826,-,-,-,-,1,-,-,-,-,-,-,-,-,1,0.006,-,-,0.629,0.469,5,-,6.7,0.304,0.414,0.249,0.033,-,-,-
Sedan/Wagon,Rear Wheel Drive,2005,1163,0.145,24.37185,19.67751,16.17897,23.5132,451.89057,549.60669,378.17489,3955.085,-,236.0919,257.5131,7.4217,1.141683,0.065366,39.00523,0.131,0.002,0.866,-,-,-,-,0.994,-,0.006,0.006,-,-,-,-,-,0.994,0.002,-,0.068,0.676,0.432,5,-,6.7,0.272,0.518,0.176,0.034,-,-,-
Sedan/Wagon,Rear Wheel Drive,2006,1475,0.185,24.78981,20.00724,16.42856,23.94155,444.36031,541.15559,371.3393,3950.257,-,235.2966,264.8603,7.2705,1.154859,0.067116,39.68128,0.125,0.003,0.872,-,-,-,-,0.996,-,0.004,0.004,-,-,-,-,-,0.996,0,-,0.085,0.741,0.538,5.4,-,6.7,0.154,0.432,0.315,0.099,-,-,-
Sedan/Wagon,Rear Wheel Drive,2007,1113,0.138,24.65153,19.93937,16.27037,24.02667,445.80321,546.33227,369.96549,3951.807,-,237.704,275.2284,7.1009,1.193179,0.069683,39.55849,0.141,0.001,0.858,-,-,-,-,0.994,-,0.002,0.002,-,-,-,-,0.003,0.995,0.043,-,0.047,0.751,0.553,5.6,-,6.7,0.077,0.435,0.323,0.133,0.032,-,-
Sedan/Wagon,Rear Wheel Drive,2008,1095,0.15,25.18272,20.31844,16.6597,24.35316,437.53674,533.6237,365.05008,3957.085,47.68798,229.9927,272.644,7.3492,1.216702,0.068683,40.41351,0.118,0.022,0.86,-,-,-,0.057,0.94,-,0.003,0.003,-,-,-,-,0.001,0.996,0.067,-,0.035,0.79,0.545,5.5,-,6.6,0.241,0.243,0.363,0.125,0.029,-,-
Sedan/Wagon,Rear Wheel Drive,2009,603,0.107,25.49518,20.5515,16.8043,24.74199,432.60238,529.06994,359.33292,3954.126,47.46108,234.4154,282.4915,6.9995,1.233842,0.071046,40.87261,0.101,0.032,0.867,-,-,-,0.127,0.869,-,0.004,0.004,-,-,-,-,0.001,0.995,0.064,-,0.068,0.779,0.659,5.7,-,6.5,0.18,0.172,0.429,0.21,0.009,-,-
Sedan/Wagon,Rear Wheel Drive,2010,755,0.125,25.70823,20.77345,16.89631,25.12227,427.90814,526.10259,353.83162,4004.047,48.88814,243.818,292.1044,6.9219,1.221469,0.072895,41.77497,0.13,0.011,0.858,0,-,-,0.185,0.812,-,0.002,0.002,-,-,-,-,0.002,0.995,0.043,-,0.04,0.731,0.616,5.6,-,6.6,0.216,0.178,0.426,0.164,0.016,-,-
Sedan/Wagon,Rear Wheel Drive,2011,767,0.134,26.58539,21.40584,17.42037,25.87091,415.65004,510.79974,343.87044,4018.351,48.34062,237.0987,306.7423,6.5994,1.31978,0.0763,43.42598,0.106,0.024,0.869,0.001,-,-,0.279,0.706,-,0.015,0.014,0.002,-,-,-,0.002,0.983,0.107,-,0.036,0.829,0.813,6.1,-,6.6,0.058,0.128,0.549,0.197,0.067,-,-
Sedan/Wagon,Rear Wheel Drive,2012,712,0.096,27.84934,22.32731,18.10361,27.09637,398.02314,490.94384,327.92507,4016.868,48.82832,229.2845,318.1976,6.3614,1.434219,0.078718,45.44876,0.106,0.03,0.865,-,-,-,0.451,0.532,-,0.005,0.003,0.002,0.003,-,-,0.002,0.989,0.202,0.074,0.071,0.882,0.945,6.5,-,6.2,0.005,0.136,0.415,0.223,0.22,-,0.012
